Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Series,Mileage (kmpl),Engine (CC),Power (bhp)
Mumbai,2010,72000,CNG,Manual,First,5.0,1.75,Maruti,Wagon,26.6,998.0,58.16
Pune,2015,41000,Diesel,Manual,First,5.0,12.5,Hyundai,Creta,19.67,1582.0,126.2
Chennai,2011,46000,Petrol,Manual,First,5.0,4.5,Honda,Jazz,18.2,1199.0,88.7
Chennai,2012,87000,Diesel,Manual,First,7.0,6.0,Maruti,Ertiga,20.77,1248.0,88.76
Coimbatore,2013,40670,Diesel,Automatic,Second,5.0,17.74,Audi,A4,15.2,1968.0,140.8
Hyderabad,2012,75000,LPG,Manual,First,5.0,2.35,Hyundai,EON,21.1,814.0,55.2
Jaipur,2013,86999,Diesel,Manual,First,5.0,3.5,Nissan,Micra,23.08,1461.0,63.1
Mumbai,2016,36000,Diesel,Automatic,First,8.0,17.5,Toyota,Innova,11.36,2755.0,171.5
Pune,2013,64430,Diesel,Manual,First,5.0,5.2,Volkswagen,Vento,20.54,1598.0,103.6
Chennai,2012,65932,Diesel,Manual,Second,5.0,1.95,Tata,Indica,22.3,1248.0,74.0
Kochi,2018,25692,Petrol,Manual,First,5.0,9.95,Maruti,Ciaz,21.56,1462.0,103.25
Kolkata,2012,60000,Petrol,Automatic,First,5.0,4.49,Honda,City,16.8,1497.0,116.3
Jaipur,2015,64424,Diesel,Manual,First,5.0,5.6,Maruti,Swift,25.2,1248.0,74.0
Delhi,2014,72000,Diesel,Automatic,First,5.0,27.0,Land,Rover,12.7,2179.0,187.7
Pune,2012,85000,Diesel,Automatic,Second,5.0,17.5,Land,Rover,,2179.0,115.0
Delhi,2014,110000,Diesel,Manual,First,7.0,15.0,Mitsubishi,Pajero,13.5,2477.0,175.56
Kochi,2016,58950,Diesel,Manual,First,5.0,5.4,Honda,Amaze,25.8,1498.0,98.6
Jaipur,2017,25000,Diesel,Manual,First,5.0,5.99,Maruti,Swift,28.4,1248.0,74.0
Kochi,2014,77469,Diesel,Manual,First,5.0,6.34,Renault,Duster,20.45,1461.0,83.8
Bangalore,2014,78500,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,New,14.84,2143.0,167.62
Kochi,2014,32982,Diesel,Automatic,First,5.0,18.55,BMW,3,22.69,1995.0,190.0
Bangalore,2015,55392,Diesel,Manual,Second,5.0,8.25,Maruti,S,23.65,1248.0,88.5
Mumbai,2015,55985,Petrol,Automatic,First,5.0,23.5,Audi,A6,13.53,1984.0,177.01
Kolkata,2010,45807,Petrol,Manual,First,5.0,1.87,Hyundai,i20,18.5,1197.0,80.0
Kolkata,2010,33000,Petrol,Automatic,First,5.0,2.85,Volkswagen,Vento,14.4,1598.0,103.6
Mumbai,2012,51920,Petrol,Manual,First,5.0,4.25,Honda,City,16.8,1497.0,116.3
