Model,Fit Time,Train R2,CV R2,Test R2,Train RMSE,CV RMSE,Test RMSE,Dataset Version
CatBoost,3.4798,0.9925,0.9253,0.9254,0.9495,2.9393,3.207,dropna + all + unscaled
LightGBM,0.219,0.9732,0.9192,0.9035,1.7933,3.0784,3.6477,dropna + all + unscaled
XGBoost,0.4057,0.9975,0.9143,0.8948,0.5442,3.151,3.8091,dropna + all + unscaled
RandomForest,2.914,0.9879,0.9132,0.9021,1.2068,3.1995,3.6752,dropna + all + unscaled
DecisionTree,0.0495,1.0,0.8545,0.7682,0.0131,4.1654,5.6539,dropna + all + unscaled
Ridge,0.01,0.8199,0.8127,0.7699,4.6498,4.7376,5.6336,dropna + all + unscaled
Linear,0.0258,0.8203,0.8122,0.7693,4.6453,4.7447,5.6405,dropna + all + unscaled
Lasso,0.015,0.7994,0.7988,0.7517,4.9078,4.9099,5.8523,dropna + all + unscaled
CatBoost,3.2751,0.9925,0.9253,0.9254,0.9495,2.9393,3.207,dropna + all + scaled
LightGBM,0.2302,0.9734,0.9188,0.9034,1.7881,3.0829,3.6493,dropna + all + scaled
XGBoost,0.5187,0.9975,0.9143,0.8947,0.5442,3.1511,3.8107,dropna + all + scaled
RandomForest,2.9288,0.9878,0.9142,0.9021,1.2105,3.1771,3.6736,dropna + all + scaled
DecisionTree,0.0521,1.0,0.8497,0.7629,0.0131,4.2368,5.7178,dropna + all + scaled
Ridge,0.0061,0.8199,0.8127,0.7698,4.6498,4.7375,5.634,dropna + all + scaled
Linear,0.0223,0.8203,0.8121,-1.3312721659334382e+18,4.6454,4.7454,13549856995.1855,dropna + all + scaled
Lasso,0.0081,0.7688,0.7677,0.6848,5.2688,5.2659,6.5929,dropna + all + scaled
