Model,Fit Time,Train R2,CV R2,Test R2,Train RMSE,CV RMSE,Test RMSE,Dataset Version
LightGBM,0.1773,0.9561,0.9031,0.8824,2.2947,3.3883,4.0274,dropna + selected + unscaled
CatBoost,3.4547,0.9799,0.902,0.9119,1.5554,3.3884,3.4853,dropna + selected + unscaled
RandomForest,1.3959,0.9783,0.9007,0.8797,1.614,3.4205,4.0724,dropna + selected + unscaled
XGBoost,0.2003,0.9866,0.8763,0.8723,1.2692,3.8017,4.1964,dropna + selected + unscaled
DecisionTree,0.0237,0.9897,0.8458,0.7906,1.1131,4.2085,5.3736,dropna + selected + unscaled
Ridge,0.0041,0.8028,0.799,0.7537,4.8667,4.9071,5.8284,dropna + selected + unscaled
Linear,0.0112,0.8028,0.7989,0.7536,4.8666,4.9086,5.8289,dropna + selected + unscaled
Lasso,0.0068,0.7979,0.7975,0.7479,4.9266,4.9249,5.8966,dropna + selected + unscaled
CatBoost,2.99,0.9799,0.9021,0.9119,1.5554,3.3883,3.4853,dropna + selected + scaled
LightGBM,0.1845,0.9564,0.9016,0.8816,2.2874,3.413,4.0407,dropna + selected + scaled
RandomForest,1.3978,0.9773,0.8954,0.8821,1.65,3.4992,4.0325,dropna + selected + scaled
XGBoost,0.2302,0.9866,0.8763,0.8723,1.2692,3.802,4.1971,dropna + selected + scaled
DecisionTree,0.0265,0.9897,0.8408,0.7629,1.1131,4.2972,5.7184,dropna + selected + scaled
Ridge,0.0022,0.8028,0.799,0.7536,4.8667,4.907,5.8288,dropna + selected + scaled
Linear,0.0058,0.8028,0.7989,0.7536,4.8666,4.9086,5.8289,dropna + selected + scaled
Lasso,0.0052,0.7688,0.7677,0.6848,5.2688,5.2659,6.5929,dropna + selected + scaled
